country,bromeliad_id,day,class,ord,family,subfamily,genus,species,abundance,size_mm,dry_mass_mg,bromspecies,predator,resource
bras,E3,02/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E3,02/04/2022,Hexapoda,Diptera,NA,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E3,02/04/2022,Hexapoda,Diptera,NA,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E8,02/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E20,02/04/2022,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E20,02/04/2022,Hexapoda,Hymenoptera,Formicidae,Myrmicinae,NA,sp2,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E21,02/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E28,02/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,absent,control
bras,E28,02/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,absent,control
bras,E28,02/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,3.16,0.183,alcantarea_imperialis,absent,control
bras,E28,02/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,2.71,0.26,alcantarea_imperialis,absent,control
bras,E24,02/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E24,02/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E21,03/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E14,03/04/2022,Hexapoda,Coleoptera,Scarabeidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E12,03/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,control
bras,E3,03/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E6,03/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E15,03/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E16,03/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,present,control
bras,E9,03/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,control
bras,E27,03/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E27,03/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,absent,control
bras,E1,03/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E16,03/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,present,control
bras,E18,03/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E17,04/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E15,04/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,NA,1,NA,NA,alcantarea_imperialis,present,control
bras,E8,04/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,NA,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E8,04/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,larva2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E23,04/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,3,NA,NA,alcantarea_imperialis,absent,enriched
bras,E17,04/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph2,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E22,04/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E16,04/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,larva3,1,NA,NA,alcantarea_imperialis,present,control
bras,E6,04/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E6,04/04/2022,Hexapoda,Diptera,NA,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E9,04/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph2,1,NA,NA,alcantarea_imperialis,present,control
bras,E27,04/04/2022,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E27,04/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,absent,control
bras,E25,04/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E25,04/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E25,04/04/2022,Arachnida,Araneae,NA,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E20,04/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E13,04/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph2,1,NA,NA,alcantarea_imperialis,present,control
bras,E24,04/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E12,04/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,2.96,0.212,alcantarea_imperialis,present,control
bras,E30,04/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph2,1,NA,NA,alcantarea_imperialis,absent,control
bras,E14,04/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph2,1,NA,NA,alcantarea_imperialis,present,control
bras,E14,04/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E7,04/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E7,04/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E4,05/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E11,05/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,present,control
bras,E32,05/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,absent,control
bras,E21,05/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E19,05/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E13,05/04/2022,Hexapoda,Hemiptera,Reduviidae,NA,NA,nymph1,1,NA,NA,alcantarea_imperialis,present,control
bras,E13,05/04/2022,Hexapoda,Coleoptera,Scarabeidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E14,05/04/2022,Arachnida,Araneae,Salticidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E30,05/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E30,05/04/2022,Hexapoda,Coleoptera,Coccinellidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E24,05/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E3,05/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E3,05/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E3,05/04/2022,Hexapoda,Diptera,NA,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E6,05/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E6,05/04/2022,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E23,05/04/2022,Hexapoda,Diptera,Tipulidae,NA,NA,sp1,1,2.19,0.088,alcantarea_imperialis,absent,enriched
bras,E30,05/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,absent,control
bras,E9,05/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E9,05/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,2.57,0.08,alcantarea_imperialis,present,control
bras,E28,06/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,sp4,1,NA,NA,alcantarea_imperialis,absent,control
bras,E28,06/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,2,NA,NA,alcantarea_imperialis,absent,control
bras,E29,06/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,absent,control
bras,E32,06/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E15,06/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,larva3,1,NA,NA,alcantarea_imperialis,present,control
bras,E23,06/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E23,06/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E27,06/04/2022,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E27,06/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E4,06/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E1,06/04/2022,Hexapoda,Coleoptera,Chrysomelidae,Alticinae,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E1,06/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E1,06/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,2.71,0.148,alcantarea_imperialis,present,enriched
bras,E1,06/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E1,06/04/2022,Hexapoda,Diptera,Ceratopogonidae,NA,NA,sp1,1,unknown,NA,alcantarea_imperialis,present,enriched
bras,E7,06/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E30,06/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E20,06/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E20,06/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph2,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E3,06/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E25,06/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E8,06/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E8,06/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E6,06/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E6,06/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E6,06/04/2022,Hexapoda,Diptera,Ceratopogonidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E23,06/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E24,06/04/2022,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E22,06/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,2.8,0.115,alcantarea_imperialis,absent,enriched
bras,E8,06/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,2.87,0.161,alcantarea_imperialis,present,enriched
bras,E10,06/04/2022,Hexapoda,Diptera,NA,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,present,control
bras,E18,06/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph3,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E18,06/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,sp5,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E18,06/04/2022,Hexapoda,Diptera,Ceratopogonidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E18,06/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp4,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E23,07/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E23,07/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E17,07/04/2022,Hexapoda,Coleoptera,Chrysomelidae,Alticinae,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E17,07/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,2.99,0.218,alcantarea_imperialis,absent,enriched
bras,E17,07/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp5,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E5,07/04/2022,Hexapoda,Coleoptera,Chrysomelidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E9,07/04/2022,Hexapoda,Hymenoptera,Formicidae,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,present,control
bras,E18,07/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E8,07/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E10,07/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E25,07/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E25,07/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,unknown,NA,alcantarea_imperialis,absent,control
bras,E3,07/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E3,07/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E3,07/04/2022,Hexapoda,Collembola,NA,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E3,07/04/2022,Arachnida,Araneae,NA,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E5,07/04/2022,Hexapoda,Collembola,NA,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E7,07/04/2022,Hexapoda,Hymenoptera,NA,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E31,07/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,larva3,1,NA,NA,alcantarea_imperialis,absent,control
bras,E14,07/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,larva4,1,NA,NA,alcantarea_imperialis,present,control
bras,E14,07/04/2022,Arachnida,Araneae,Salticidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E9,07/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,2.61,0.209,alcantarea_imperialis,present,control
bras,E27,07/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,2.87,0.192,alcantarea_imperialis,absent,control
bras,E13,07/04/2022,Hexapoda,Hymenoptera,NA,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,control
bras,E13,07/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp4,1,NA,NA,alcantarea_imperialis,present,control
bras,E3,07/04/2022,Hexapoda,Diptera,Ceratopogonidae,NA,NA,sp2,1,1.32,0.058,alcantarea_imperialis,present,enriched
bras,E23,08/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E12,08/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E18,08/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E15,08/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,larva3,1,NA,NA,alcantarea_imperialis,present,control
bras,E20,08/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,larva3,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E10,08/04/2022,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,control
bras,E3,08/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp5,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E5,08/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E22,08/04/2022,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E21,08/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp5,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E8,08/04/2022,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E6,09/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E6,09/04/2022,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E6,09/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,2,NA,NA,alcantarea_imperialis,present,enriched
bras,E12,09/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,present,control
bras,E12,09/04/2022,Hexapoda,Coleoptera,Chrysomelidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E12,09/04/2022,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E12,09/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,present,control
bras,E12,09/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp4,1,2.09,0.031,alcantarea_imperialis,present,control
bras,E8,09/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E8,09/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,larva2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E8,09/04/2022,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E18,09/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E10,09/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,control
bras,E10,09/04/2022,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,2,NA,NA,alcantarea_imperialis,present,control
bras,E10,09/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp4,1,1.43,0.041,alcantarea_imperialis,present,control
bras,E10,09/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,control
bras,E10,09/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,present,control
bras,E5,09/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E20,09/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,2,NA,NA,alcantarea_imperialis,absent,enriched
bras,E4,09/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,larva5,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E31,09/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E17,09/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,4,NA,NA,alcantarea_imperialis,absent,enriched
bras,E17,09/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E11,09/04/2022,Hexapoda,Collembola,NA,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,control
bras,E11,09/04/2022,Hexapoda,Hymenoptera,NA,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E11,09/04/2022,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,2,NA,NA,alcantarea_imperialis,present,control
bras,E11,09/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,present,control
bras,E2,09/04/2022,Hexapoda,Hymenoptera,NA,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E2,09/04/2022,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,3,NA,NA,alcantarea_imperialis,present,enriched
bras,E21,09/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E21,09/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E21,09/04/2022,Arachnida,Araneae,NA,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E21,09/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,2.66,0.112,alcantarea_imperialis,absent,enriched
bras,E21,09/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E21,09/04/2022,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E9,09/04/2022,Arachnida,Araneae,NA,NA,NA,sp3,1,NA,NA,alcantarea_imperialis,present,control
bras,E9,09/04/2022,Arachnida,Araneae,NA,NA,NA,sp4,1,NA,NA,alcantarea_imperialis,present,control
bras,E9,09/04/2022,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E9,09/04/2022,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,2.8,0.159,alcantarea_imperialis,present,control
bras,E9,09/04/2022,Hexapoda,Hymenoptera,Formicidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E16,09/04/2022,Arachnida,Araneae,NA,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,control
bras,E16,09/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,control
bras,E16,09/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,2,NA,NA,alcantarea_imperialis,present,control
bras,E1,09/04/2022,Hexapoda,Collembola,NA,NA,NA,sp1,2,NA,NA,alcantarea_imperialis,present,enriched
bras,E1,09/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,3,NA,NA,alcantarea_imperialis,present,enriched
bras,E1,09/04/2022,Hexapoda,Diptera,Chironomidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E1,09/04/2022,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E15,09/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp2,1,NA,NA,alcantarea_imperialis,present,control
bras,E15,09/04/2022,Hexapoda,Diptera,NA,NA,NA,unid_escaped,1,NA,NA,alcantarea_imperialis,present,control
bras,E15,09/04/2022,Hexapoda,Coleoptera,Chrysomelidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
