country,bromeliad_id,bromspecies,predator,resource,taxon,species,stage,n_indiv,invert_mass_mg,mass_measured,p_prcnt
bras,E17,alcantarea_imperialis,absent,enriched,Culicidae,Culicidae,adult,1,0.256,0.1856,0.474
bras,E18,alcantarea_imperialis,absent,enriched,Culicidae,Culicidae,larva,1,0.295,0.1762,0.085
bras,E20,alcantarea_imperialis,absent,enriched,Culicidae,Culicidae,adult,2,0.473,0.1704,1.050
bras,E21,alcantarea_imperialis,absent,enriched,Culicidae,Culicidae,larva,1,0.231,0.1409,0.106
bras,E21,alcantarea_imperialis,absent,enriched,Culicidae,Culicidae,adult,1,0.132,0.0494,1.437
bras,E22,alcantarea_imperialis,absent,enriched,Culicidae,Culicidae,larva,1,0.391,0.2074,0.473
bras,E22,alcantarea_imperialis,absent,enriched,Culicidae,Culicidae,adult,3,0.382,0.2612,1.746
bras,E22,alcantarea_imperialis,absent,enriched,Tipulidae,Tipulidae,adult,1,0.272,0.1451,0.110
bras,E23,alcantarea_imperialis,absent,enriched,Culicidae,Culicidae,adult,2,0.408,0.3029,0.046
bras,E23,alcantarea_imperialis,absent,enriched,Tipulidae,Tipulidae,adult,1,0.116,0.0823,3.098
bras,E24,alcantarea_imperialis,absent,enriched,Culicidae,Culicidae,adult,1,0.157,0.2113,0.317
bras,E24,alcantarea_imperialis,absent,enriched,Tipulidae,Tipulidae,adult,1,0.492,0.0958,0.355
bras,E25,alcantarea_imperialis,absent,control,Culicidae,Culicidae,adult,2,0.569,0.3533,0.337
bras,E26,alcantarea_imperialis,absent,control,Culicidae,Culicidae,adult,3,0.678,0.5354,0.161
bras,E27,alcantarea_imperialis,absent,control,Culicidae,Culicidae,adult,2,1.074,0.6065,0.524
bras,E28,alcantarea_imperialis,absent,control,Culicidae,Culicidae,adult,2,0.373,0.3043,0.138
bras,E28,alcantarea_imperialis,absent,control,Tipulidae,Tipulidae,adult,2,1.774,0.9564,0.060
bras,E29,alcantarea_imperialis,absent,control,Culicidae,Culicidae,larva,1,0.098,0.0433,0.277
bras,E30,alcantarea_imperialis,absent,control,Tipulidae,CulicidaeTipulidae,larva,6,0.811,0.2436,1.182
bras,E30,alcantarea_imperialis,absent,control,Culicidae,Culicidae,adult,2,0.397,0.2074,0.357
bras,E32,alcantarea_imperialis,absent,control,Culicidae,Culicidae,larva,2,0.581,0.2666,0.611
trini,E1,guzmania_sp,absent,control,Tipulidae,Tipulidae_adult3,adult,1,0.32,0.0627,0.223
trini,E3,guzmania_sp,absent,control,Tipulidae,Tipulidae_adult3,adult,1,0.89,0.614,0.046
trini,E4,guzmania_sp,absent,control,Tipulidae,Tipulidae_adult1,adult,1,0.84,0.5398,0.056
trini,E9,vriesea_sp,absent,control,Tipulidae,Tipulidae_adult1,adult,1,0.39,0.2181,0.078
trini,E15,guzmania_sp,absent,control,Tipulidae,Tipulidae_adult7,adult,1,0.9,0.4803,0.058
trini,E16,guzmania_sp,absent,control,Tipulidae,Tipulidae_adult1,adult,1,1.35,0.6727,0.172
trini,E21,guzmania_sp,absent,enriched,Tipulidae,Tipulidae_adult3,adult,1,0.25,0.2263,0.150
trini,E22,guzmania_sp,absent,enriched,Tipulidae,Tipulidae_adult1,adult,1,0.29,0.067,0.209
trini,E23,guzmania_sp,absent,enriched,Tipulidae,Tipulidae_adult1,adult,1,1.23,0.3787,0.084
trini,E31,guzmania_sp,absent,enriched,Tipulidae,Tipulidae_adult3,adult,1,0.11,0.0503,0.417
trini,E30,vriesea_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,4,1.88,0.6107,0.229
trini,E30,vriesea_sp,absent,enriched,Tipulidae,Tipulidae_sp1,larva,3,1.47,0.7431,0.166
trini,E32,guzmania_sp,absent,enriched,Tipulidae,Tipulidae_sp1,larva,1,1.09,0.9313,0.241
trini,E32,guzmania_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,1,0.46,0.3063,0.225
trini,E29,vriesea_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,2,0.64,0.4496,0.236
trini,E31,guzmania_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,3,0.79,0.5508,0.200
trini,E26,guzmania_sp,absent,enriched,Tipulidae,Tipulidae_sp1,larva,2,0.9,0.4114,0.226
trini,E26,guzmania_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,3,0.36,0.2192,0.187
trini,E27,vriesea_sp,absent,enriched,Tipulidae,Tipulidae_sp1,larva,2,2.19,0.7435,0.120
trini,E28,vriesea_sp,absent,enriched,Tipulidae,Tipulidae_sp1,larva,3,1.52,0.867,0.098
trini,E25,vriesea_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,1,0.4,0.1988,0.362
trini,E24,vriesea_sp,absent,enriched,Tipulidae,Tipulidae_sp1,larva,2,1.19,0.8427,0.132
trini,E24,vriesea_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,8,0.9,0.1751,0.240
trini,E18,guzmania_sp,absent,enriched,Tipulidae,Tipulidae_sp1,larva,1,1.28,0.9511,0.099
trini,E18,guzmania_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,1,0.64,0.4007,0.262
trini,E20,guzmania_sp,absent,enriched,Tipulidae,Tipulidae_sp1,larva,1,1.13,0.5959,0.107
trini,E20,guzmania_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,14,1.33,0.3236,0.297
trini,E17,guzmania_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,4,0.44,0.4345,0.244
trini,E23,guzmania_sp,absent,enriched,Tipulidae,Tipulidae_sp1,larva,1,1,0.688,0.078
trini,E23,guzmania_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,11,1.91,0.474,0.158
trini,E19,guzmania_sp,absent,enriched,Scirtes,Scirtes_sp1,larva,4,0.7,0.246,0.102
trini,E16,guzmania_sp,absent,control,Tipulidae,Tipulidae_sp1,larva,3,1.34,0.9756,0.129
trini,E16,guzmania_sp,absent,control,Polypedilum,Polypedilum_sp1,larva,2,-0.05,0.0378,0.317
trini,E16,guzmania_sp,absent,control,Scirtes,Scirtes_sp1,larva,2,0.12,0.0107,1.402
trini,E15,guzmania_sp,absent,control,Tipulidae,Tipulidae_sp1,larva,2,0.3,0.1402,0.257
trini,E15,guzmania_sp,absent,control,Scirtes,Scirtes_sp1,larva,3,0.12,0.0644,0.326
trini,E13,guzmania_sp,absent,control,Scirtes,Scirtes_sp1,larva,1,0.74,0.3123,0.134
trini,E12,guzmania_sp,absent,control,Tipulidae,Tipulidae_sp1,larva,1,0.45,0.3152,0.216
trini,E14,guzmania_sp,absent,control,Tipulidae,Tipulidae_sp1,larva,2,1.93,0.8939,0.223
trini,E14,guzmania_sp,absent,control,Scirtes,Scirtes_sp1,larva,6,1.12,0.3749,0.392
trini,E11,guzmania_sp,absent,control,Tipulidae,Tipulidae_sp1,larva,1,0.61,0.3256,0.218
trini,E11,guzmania_sp,absent,control,Scirtes,Scirtes_sp1,larva,2,0.69,0.2812,0.245
trini,E10,guzmania_sp,absent,control,Scirtes,Scirtes_sp1,larva,10,0.99,0.4691,0.322
trini,E9,vriesea_sp,absent,control,Scirtes,Scirtes_sp1,larva,3,0.34,0.2358,0.212
trini,E9,vriesea_sp,absent,control,Tipulidae,Tipulidae_sp1,larva,2,0.34,0.1486,0.135
trini,E9,vriesea_sp,absent,control,Polypedilum,Polypedilum_sp1,larva,14,0.98,0.5635,0.099
trini,E8,vriesea_sp,absent,control,Scirtes,Scirtes_sp1,larva,4,2.03,0.8657,0.167
trini,E7,guzmania_sp,absent,control,Polypedilum,Polypedilum_sp1,larva,3,0.36,0.1545,0.136
trini,E7,guzmania_sp,absent,control,Scirtes,Scirtes_sp1,larva,17,1.19,0.2287,0.219
trini,E6,guzmania_sp,absent,control,Scirtes,Scirtes_sp1,larva,30,4.34,0.3721,0.266
trini,E5,other_sp,absent,control,Scirtes,Scirtes_sp1,larva,8,0.97,0.3821,0.290
trini,E5,other_sp,absent,control,Polypedilum,Polypedilum_sp1,larva,4,0.31,0.2214,0.131
trini,E4,guzmania_sp,absent,control,Polypedilum,Polypedilum_sp1,larva,7,0.55,0.3599,0.131
trini,E4,guzmania_sp,absent,control,Scirtes,Scirtes_sp1,larva,13,1.23,0.376,0.199
trini,E4,guzmania_sp,absent,control,Tipulidae,Tipulidae_sp1,larva,2,1.64,0.4163,0.132
trini,E3,guzmania_sp,absent,control,Polypedilum,Polypedilum_sp1,larva,3,0.31,0.105,0.190
trini,E3,guzmania_sp,absent,control,Scirtes,Scirtes_sp1,larva,25,1.28,0.3879,0.374
trini,E2,vriesea_sp,absent,control,Scirtes,Scirtes_sp1,larva,1,0.46,0.2606,0.303
trini,E2,vriesea_sp,absent,control,Tipulidae,Tipulidae_sp1,larva,1,1.54,0.7033,0.148
trini,E1,guzmania_sp,absent,control,Tipulidae,Tipulidae_sp1,larva,1,0.13,0.0747,0.254
trini,E1,guzmania_sp,absent,control,Polypedilum,Polypedilum_sp1,larva,3,0.41,0.2624,0.133
trini,E1,guzmania_sp,absent,control,Scirtes,Scirtes_sp1,larva,9,0.74,0.3977,0.158
